,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,politicalregionalblocs
84,/Event/7442714159/7442744643/7446628851,7446628851,,,,2023-03-12T08:32:00,2023-03-14T15:09:00,,7442714159,eng,,nationalpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
85,/Event/7442714159/7442744643/7446989192,7446989192,,BD,C20,2023-03-12T08:32:00,2023-03-14T19:17:00,C5,7442714159,eng,Center-left,thedailystar.net,ChatGPT,AS,,,Muslim,,,,,,,,,,,,,,,,,,,,
86,/Event/7442714159/7442758753,7442758753,,,,2023-03-12T08:04:00,2023-03-12T08:45:00,,7442714159,eng,,shorenewsnetwork.com,,,,,,,,,,,,,,,,,,,,,,,,,
87,/Event/7442714159/7442758753/7443099720,7443099720,,,,2023-03-12T08:45:00,2023-03-12T13:58:00,,7442714159,eng,,sputniknews.com,,,,,,,,,,,,,,,,,,,,,,,,,
88,/Event/7442714159/7442758753/7443099720/7443776752,7443776752,,,,2023-03-12T13:58:00,2023-03-13T02:25:00,,7442714159,eng,,cleantechnica.com,,,,,,,,,,,,,,,,,,,,,,,,,
89,/Event/7442714159/7442758753/7443287891,7443287891,,USA,C4,2023-03-12T08:45:00,2023-03-12T16:55:00,C2,7442714159,eng,,edition.cnn.com,,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,NAFTA,
90,/Event/7442714159/7442758753/7443287891/7443739205,7443739205,United-States,AU,C4,2023-03-12T16:55:00,2023-03-13T01:40:00,C2,7442714159,eng,,watoday.com.au,,AU,Eng,,Christian,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,PIF
91,/Event/7442714159/7442758753/7443372173,7443372173,,,,2023-03-12T08:45:00,2023-03-12T18:19:00,,7442714159,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,,
92,/Event/7442714159/7442758753/7444268305,7444268305,,CN,C18,2023-03-12T08:45:00,2023-03-13T09:28:00,C9,7442714159,eng,,english.sina.com,,AS,,,Irreligion,,,,,,,,,,,,,,,,,,,,
93,/Event/7442714159/7442758753/7444529303,7444529303,,,,2023-03-12T08:45:00,2023-03-13T12:07:00,,7442714159,eng,,torontosun.com,,,,,,,,,,,,,,,,,,,,,,,,,
94,/Event/7442714159/7442758753/7444614881,7444614881,,ZA,C4,2023-03-12T08:45:00,2023-03-13T13:00:00,C17,7442714159,eng,,enca.com,,AF,,,Christian,,,,,,,,,,,,,,,,,,,AfCFTA,AU
