source.uri,country,language,Political-Alignment,wiki-url,Cultural-Class,Economic-Class
rtbnews.rtb.gov.bn,Brunei,unknown,unknown,unknown,unknown,unknown
bnr.bg,Bulgaria,unknown,unknown,unknown,C16,C4
bulgarianmilitary.com,Bulgaria,unknown,unknown,unknown,C16,C4
kanal3.bg,Bulgaria,unknown,unknown,unknown,C16,C4
fasozine.com,Burkina-Faso,unknown,unknown,unknown,C20,C6
albaghdadia.com,"Cairo-Egypt-Iraq",unknown,unknown,unknown,unknown,unknown
khmertimeskh.com,Cambodia,English,unknown,unknown,unknown,C11
cambodiadaily.com,Cambodia,"English-Khmer",unknown,unknown,unknown,C11
english.cambodiadaily.com,Cambodia,unknown,unknown,unknown,unknown,C11
media1.ledevoir.com,Canada,unknown,"Quebec-nationalism-Quebec-independence-Social-democracy",https://en.wikipedia.org/wiki/Le_Devoir,C4,C2
montrealgazette.com,Canada,English,"Canadian-federalism-Conservatism",https://en.wikipedia.org/wiki/Montreal_Gazette,C4,C2
ottawacitizen.com,Canada,English,Centreright,https://en.wikipedia.org/wiki/Ottawa_Citizen,C4,C2
thepostmillennial.com,Canada,English,Conservative,https://en.wikipedia.org/wiki/The_Post_Millennial,C4,C2
sherbrooktimes.com,Canada,unknown,"Conservative-Liberal-columnists",https://en.wikipedia.org/wiki/The_Record_(Sherbrooke),C4,C2
thetelegram.com,Canada,unknown,Centre,https://en.wikipedia.org/wiki/The_Telegram,C4,C2
abbynews.com,Canada,English,unknown,unknown,C4,C2
advisor.ca,Canada,English,unknown,unknown,C4,C2
albernivalleynews.com,Canada,English,unknown,unknown,C4,C2
ashcroftcachecreekjournal.com,Canada,English,unknown,unknown,C4,C2
barrierestarjournal.com,Canada,English,unknown,unknown,C4,C2
canadianbusiness.com,Canada,English,unknown,unknown,C4,C2
chroniclejournal.com,Canada,English,unknown,unknown,C4,C2
cultmtl.com,Canada,English,unknown,unknown,C4,C2
edmontonjournal.com,Canada,English,unknown,unknown,C4,C2
exclaim.ca,Canada,English,unknown,unknown,C4,C2
hilltimes.com,Canada,English,unknown,unknown,C4,C2
insidehalton.com,Canada,English,unknown,unknown,C4,C2
insideottawavalley.com,Canada,English,unknown,unknown,C4,C2
mcgilldaily.com,Canada,English,unknown,unknown,C4,C2
mjtimes.sk.ca,Canada,English,unknown,unknown,C4,C2
moneysense.ca,Canada,English,unknown,unknown,C4,C2
nowtoronto.com,Canada,English,unknown,unknown,C4,C2
paherald.sk.ca,Canada,English,unknown,unknown,C4,C2
thecoast.ca,Canada,English,unknown,unknown,C4,C2
thelinkpaper.ca,Canada,English,unknown,unknown,C4,C2
thetyee.ca,Canada,English,unknown,unknown,C4,C2
timescolonist.com,Canada,English,unknown,unknown,C4,C2
torontolife.com,Canada,English,unknown,unknown,C4,C2
trailtimes.ca,Canada,English,unknown,unknown,C4,C2
acadienouvelle.com,Canada,French,unknown,unknown,C4,C2
affaires.lapresse.ca,Canada,French,unknown,unknown,C4,C2
journalmetro.com,Canada,French,unknown,unknown,C4,C2
lactualite.com,Canada,French,unknown,unknown,C4,C2
l-express.ca,Canada,French,unknown,unknown,C4,C2
ladige.it,Canada,Italian,unknown,unknown,C4,C2
agoramagazine.it,Canada,unknown,unknown,unknown,C4,C2
atlantic.ctvnews.ca,Canada,unknown,unknown,unknown,C4,C2
bc.ctvnews.ca,Canada,unknown,unknown,unknown,C4,C2
blogto.com,Canada,unknown,unknown,unknown,C4,C2
brandonsun.com,Canada,unknown,unknown,unknown,C4,C2
burnabynow.com,Canada,unknown,unknown,unknown,C4,C2
burnslakelakesdistrictnews.com,Canada,unknown,unknown,unknown,C4,C2
business-panorama.de,Canada,unknown,unknown,unknown,C4,C2
calgaryherald.com,Canada,unknown,unknown,unknown,C4,C2
cambridgetimes.ca,Canada,unknown,unknown,unknown,C4,C2
campbellrivermirror.com,Canada,unknown,unknown,unknown,C4,C2
cbc.ca,Canada,unknown,unknown,unknown,C4,C2
chamblymatin.com,Canada,unknown,unknown,unknown,C4,C2
cheknews.ca,Canada,unknown,unknown,unknown,C4,C2
citynews.ca,Canada,unknown,unknown,unknown,C4,C2
citynews.com.au,Canada,unknown,unknown,unknown,C4,C2
cnwnews.com,Canada,unknown,unknown,unknown,C4,C2
cornwallseawaynews.com,Canada,unknown,unknown,unknown,C4,C2
crestonvalleyadvance.ca,Canada,unknown,unknown,unknown,C4,C2
ctvnews.ca,Canada,unknown,unknown,unknown,C4,C2
dailyhive.com,Canada,unknown,unknown,unknown,C4,C2
discoverestevan.com,Canada,unknown,unknown,unknown,C4,C2
discoverweyburn.com,Canada,unknown,unknown,unknown,C4,C2
durhamregion.com,Canada,unknown,unknown,unknown,C4,C2
edmontonsun.com,Canada,unknown,unknown,unknown,C4,C2
expatica.com,Canada,unknown,unknown,unknown,C4,C2
forum.home.news.cn,Canada,unknown,unknown,unknown,C4,C2
fr.canoe.ca,Canada,unknown,unknown,unknown,C4,C2
globalnews.ca,Canada,unknown,unknown,unknown,C4,C2
globalresearch.ca,Canada,unknown,unknown,unknown,C4,C2
goldstreamgazette.com,Canada,unknown,unknown,unknown,C4,C2
hiiraan.com,Canada,unknown,unknown,unknown,C4,C2
hqprincegeorge.com,Canada,unknown,unknown,unknown,C4,C2
insidebrockville.com,Canada,unknown,unknown,unknown,C4,C2
journalpioneer.com,Canada,unknown,unknown,unknown,C4,C2
kingstonregion.com,Canada,unknown,unknown,unknown,C4,C2
